faiss_id,movie_id,t0,t1,scene_id,shot_id,variant,bbox_x1,bbox_y1,bbox_x2,bbox_y2,size,n_frames,stride_s
174,orig_288p,271.604,273.041,76,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
175,orig_288p,273.042,274.167,77,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
176,orig_288p,274.167,275.583,78,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
177,orig_288p,275.583,277.208,79,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
178,orig_288p,277.208,278.5,80,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
179,orig_288p,278.5,279.792,81,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
180,orig_288p,279.792,280.583,82,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
181,orig_288p,280.583,281.667,83,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
182,orig_288p,281.667,283.167,84,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
183,orig_288p,283.167,284.333,85,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
184,orig_288p,284.333,285.625,86,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
185,orig_288p,285.625,286.646,87,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
186,orig_288p,286.646,287.667,87,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
187,orig_288p,287.667,289.458,88,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
188,orig_288p,289.458,290.333,89,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
189,orig_288p,290.333,291.75,90,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
190,orig_288p,291.75,292.917,91,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
191,orig_288p,292.917,294.625,92,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
192,orig_288p,294.625,296.125,93,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
193,orig_288p,296.125,297.146,94,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
194,orig_288p,297.146,298.167,94,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
195,orig_288p,298.167,299.167,95,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
196,orig_288p,299.167,299.792,96,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
197,orig_288p,299.792,301.5,97,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
198,orig_288p,301.5,302.292,98,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
199,orig_288p,302.292,303.208,99,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
200,orig_288p,303.208,304.542,100,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
201,orig_288p,304.542,305.875,101,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
202,orig_288p,305.875,307.0,102,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
203,orig_288p,307.0,308.146,103,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
204,orig_288p,308.146,309.292,103,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
205,orig_288p,309.292,310.542,104,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
206,orig_288p,310.542,311.667,105,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
207,orig_288p,311.667,312.792,105,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
208,orig_288p,312.792,313.896,106,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
209,orig_288p,313.896,315.0,106,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
210,orig_288p,315.0,316.25,107,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
211,orig_288p,316.25,317.5,107,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
212,orig_288p,317.5,319.125,108,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
213,orig_288p,319.125,320.646,109,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
214,orig_288p,320.646,322.167,109,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
215,orig_288p,322.167,323.646,110,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
216,orig_288p,323.646,325.125,110,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
217,orig_288p,325.125,327.042,111,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
218,orig_288p,327.042,328.5,112,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
219,orig_288p,328.5,329.125,113,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
220,orig_288p,329.125,329.875,114,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
221,orig_288p,329.875,331.583,115,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
222,orig_288p,331.583,333.292,116,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
223,orig_288p,333.292,334.25,117,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
224,orig_288p,334.25,335.333,118,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
225,orig_288p,335.333,336.458,119,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
226,orig_288p,336.458,337.562,120,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
227,orig_288p,337.562,338.666,120,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
228,orig_288p,338.667,340.5,121,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
229,orig_288p,340.5,342.292,122,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
230,orig_288p,342.292,344.042,123,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
231,orig_288p,344.042,345.542,124,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
232,orig_288p,345.542,346.792,125,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
233,orig_288p,346.792,347.958,126,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
234,orig_288p,347.958,349.792,127,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
235,orig_288p,349.792,350.979,128,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
236,orig_288p,350.979,352.166,128,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
237,orig_288p,352.167,352.792,129,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
238,orig_288p,352.792,353.833,130,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
239,orig_288p,353.833,355.417,131,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
240,orig_288p,355.417,356.875,132,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
241,orig_288p,356.875,357.958,133,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
242,orig_288p,357.958,359.062,134,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
243,orig_288p,359.062,360.166,134,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
244,orig_288p,360.167,361.417,135,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
245,orig_288p,361.417,363.125,136,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
246,orig_288p,363.125,364.417,137,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
247,orig_288p,364.417,365.5,138,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
248,orig_288p,365.5,366.5,139,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
249,orig_288p,366.5,368.0,140,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
250,orig_288p,368.0,369.833,141,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
251,orig_288p,369.833,371.0,142,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
252,orig_288p,371.0,372.417,143,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
253,orig_288p,372.417,374.125,144,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
254,orig_288p,374.125,375.25,145,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
255,orig_288p,375.25,377.208,146,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
256,orig_288p,377.208,378.542,147,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
257,orig_288p,378.542,380.0,148,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
258,orig_288p,380.0,381.458,148,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
259,orig_288p,381.458,382.896,149,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
260,orig_288p,382.896,384.333,149,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
261,orig_288p,384.333,386.18,150,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
262,orig_288p,386.18,388.027,150,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
263,orig_288p,388.028,389.875,150,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
264,orig_288p,389.875,391.667,151,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
265,orig_288p,391.667,393.458,151,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
266,orig_288p,393.458,395.43,152,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
267,orig_288p,395.43,397.402,152,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
268,orig_288p,397.403,399.375,152,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
269,orig_288p,399.375,400.99,153,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
270,orig_288p,400.99,402.605,153,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
271,orig_288p,402.604,404.219,153,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
272,orig_288p,404.219,405.833,153,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
273,orig_288p,405.833,407.687,154,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
